head,tail,relationship,PersonnelType
王宏芹,一种无溶剂型高性能导电胶,发明,发明人
王玲,一种无溶剂型高性能导电胶,发明,发明人
万超,一种无溶剂型高性能导电胶,发明,发明人
杜彬,一种无溶剂型高性能导电胶,发明,发明人
赵新,一种无溶剂型高性能导电胶,发明,发明人
胡嘉琦,一种无溶剂型高性能导电胶,发明,发明人
王鹏程,一种无溶剂型高性能导电胶,发明,发明人
何丽娇,一种无溶剂型高性能导电胶,发明,发明人
邓梅玲,一种无溶剂型高性能导电胶,发明,发明人
陈建全,一种紧凑型高压大电流电解电源结构,发明,发明人
黄华强,一种紧凑型高压大电流电解电源结构,发明,发明人
陈黎明,一种具有霍尔容错功能的五相无刷直流电机控制方法,发明,发明人
李宇,一种具有霍尔容错功能的五相无刷直流电机控制方法,发明,发明人
屈晓峰,一种具有霍尔容错功能的五相无刷直流电机控制方法,发明,发明人
陈黎明,一种降低五相无刷直流电机脉动电流的控制方法,发明,发明人
李宇,一种降低五相无刷直流电机脉动电流的控制方法,发明,发明人
冯建辉,一种降低五相无刷直流电机脉动电流的控制方法,发明,发明人
周林峰,一种储能系统用复合连接导体材料,发明,发明人
周林峰,一种新能源汽车动力电池用镍基导体材料及其制备方法,发明,发明人
周林峰,一种锂离子动力电池用镍基导体材料及其制备方法,发明,发明人
周林峰,一种新能源汽车动力电源系统用连接导体材料,发明,发明人
张浩军,一种阻燃型动力电池铝外壳粘结的丙烯酸酯结构胶及其制备方法,发明,发明人
刘苏宇,一种阻燃型动力电池铝外壳粘结的丙烯酸酯结构胶及其制备方法,发明,发明人
韩胜利,一种阻燃型动力电池铝外壳粘结的丙烯酸酯结构胶及其制备方法,发明,发明人
吴正明,一种阻燃型动力电池铝外壳粘结的丙烯酸酯结构胶及其制备方法,发明,发明人
章锋,一种阻燃型动力电池铝外壳粘结的丙烯酸酯结构胶及其制备方法,发明,发明人
刘苏宇,一种用于动力电池封装的丙烯酸酯胶,发明,发明人
韩胜利,一种用于动力电池封装的丙烯酸酯胶,发明,发明人
张浩军,一种用于动力电池封装的丙烯酸酯胶,发明,发明人
章锋,一种用于动力电池封装的丙烯酸酯胶,发明,发明人
吴正明,一种用于动力电池封装的丙烯酸酯胶,发明,发明人
