head,tail,relationship,product
罕王实业集团有限公司,镍矿,生产,镍矿
金川集团股份有限公司,镍矿,生产,镍矿
浙江华友钴业股份有限公司,钴矿,生产,钴矿
江苏容汇通用锂业股份有限公司,锂矿,生产,锂矿
江西赣锋锂业集团股份有限公司,锂矿,生产,锂矿
天齐锂业股份有限公司,锂矿,生产,锂矿
湘潭电化科技股份有限公司,锰矿,生产,锰矿
西部黄金股份有限公司,锰矿,生产,锰矿
安徽红军红农业发展有限公司,锰矿,生产,锰矿
焦作市东星炭电极有限公司,石墨,生产,石墨
大同新成新材料股份有限公司,石墨,生产,石墨
济南万方炭素有限责任公司,石墨,生产,石墨
多氟多新材料股份有限公司,六氟磷酸锂,生产,六氟磷酸锂
江西东鹏新材料有限责任公司,六氟磷酸锂,生产,六氟磷酸锂
天际新能源科技股份有限公司,六氟磷酸锂,生产,六氟磷酸锂
中材科技股份有限公司,聚乙烯,生产,聚乙烯
天茂实业集团股份有限公司,聚乙烯,生产,聚乙烯
北京昊华能源股份有限公司,聚乙烯,生产,聚乙烯
航天彩虹无人机股份有限公司,聚丙烯,生产,聚丙烯
顾地科技股份有限公司,聚丙烯,生产,聚丙烯
宁夏宝丰能源集团股份有限公司,聚丙烯,生产,聚丙烯
惠州亿纬锂能股份有限公司,锂电设备,生产,锂电设备
江苏亿多力新能源科技有限公司,锂电设备,生产,锂电设备
江苏广义牵引技术研究所有限公司,锂电设备,生产,锂电设备
北京当升材料科技股份有限公司,正极材料,生产,正极材料
湖南瑞翔新材料股份有限公司,正极材料,生产,正极材料
惠州比亚迪电池有限公司,正极材料,生产,正极材料
诺德新材料股份有限公司,铝箔,生产,铝箔
广东超华科技股份有限公司,铝箔,生产,铝箔
广东嘉元科技股份有限公司,铝箔,生产,铝箔
江西紫宸科技有限公司,负极材料,生产,负极材料
上海杉杉科技有限公司,负极材料,生产,负极材料
深圳市斯诺实业发展有限公司,负极材料,生产,负极材料
江苏国泰国际集团股份有限公司,电解液,生产,电解液
东莞市杉杉电池材料有限公司,电解液,生产,电解液
湖州杉杉新能源科技有限公司,电解液,生产,电解液
深圳市星源材质科技股份有限公司,隔膜,生产,隔膜
河南义腾新能源科技有限公司,隔膜,生产,隔膜
沧州明珠塑料股份有限公司,隔膜,生产,隔膜
海南矿业股份有限公司,铁矿,生产,铁矿
内蒙古大中矿业股份有限公司,铁矿,生产,铁矿
山东金岭矿业股份有限公司,铁矿,生产,铁矿
中国南方稀土集团有限公司,稀土,生产,稀土
厦门钨业股份有限公司,稀土,生产,稀土
广东省稀土产业集团有限公司,稀土,生产,稀土
浙江零跑科技股份有限公司,碳化硅,生产,碳化硅
南京江智科技有限公司,碳化硅,生产,碳化硅
连云港亮晶新材料科技有限公司,碳化硅,生产,碳化硅
孚能集团有限公司,电芯与PACK,生产,电芯与PACK
国轩高科股份有限公司,电芯与PACK,生产,电芯与PACK
北京普莱德新材料有限公司,电芯与PACK,生产,电芯与PACK
航天科技控股集团股份有限公司,电池结构件,生产,电池结构件
南京聚隆科技股份有限公司,电池结构件,生产,电池结构件
江苏银河电子股份有限公司,电池结构件,生产,电池结构件
福建星云电子股份有限公司,BMS,生产,BMS
无锡顺达智能自动化工程股份有限公司,BMS,生产,BMS
福建易动力电子科技股份有限公司,BMS,生产,BMS
联合汽车电子有限公司,电子控制系统,生产,电子控制系统
广东好帮手电子科技股份有限公司,电子控制系统,生产,电子控制系统
