head,tail,relationship,yearOfPublication,patentType,availability,patentNumber,product
中国电器科学研究院股份有限公司,一种无溶剂型高性能导电胶,申请,2011/4/6,发明公开,有效,CN201010580604.X,动力电池组
中国电器科学研究院股份有限公司,一种紧凑型高压大电流电解电源结构,申请,2011/9/14,实用新型,有效,CN201020651148.9,动力电池组
中国电器科学研究院股份有限公司,一种具有霍尔容错功能的五相无刷直流电机控制方法,申请,2012/10/10,发明授权,有效,CN201010526497.2,动力电池组
中国电器科学研究院股份有限公司,一种降低五相无刷直流电机脉动电流的控制方法,申请,2012/9/19,发明授权,有效,CN201010526516.1,动力电池组
江苏远航精密合金科技股份有限公司,一种新能源汽车动力电池用镍基导体材料及其制备方法,申请,2020/7/28,发明公开,有效,CN202010255342.3,动力电池组
江苏远航精密合金科技股份有限公司,一种储能系统用复合连接导体材料,申请,2020/11/3,实用新型,有效,CN202020890669.3,动力电池组
江苏远航精密合金科技股份有限公司,一种锂离子动力电池用镍基导体材料及其制备方法,申请,2018/11/6,发明授权,有效,CN201610491644.4,动力电池组
江苏远航精密合金科技股份有限公司,一种新能源汽车动力电源系统用连接导体材料,申请,2019/2/22,实用新型,有效,CN201821010055.0,动力电池组
湖北回天新材料股份有限公司,一种阻燃型动力电池铝外壳粘结的丙烯酸酯结构胶及其制备方法,申请,2018/5/29,发明公开,有效,CN201711341293.X,动力电池组
湖北回天新材料股份有限公司,一种用于动力电池封装的丙烯酸酯胶,申请,2020/9/8,发明授权,有效,CN201611154428.7,动力电池组
